latitude,longitude,timestamp
27.9182,10.8134,1769256228
28.379,11.2894,1769256238
28.7004,11.6253,1769256245
29.0209,11.9635,1769256252
29.477,12.4508,1769256262
29.7949,12.7945,1769256269
30.7649,13.8656,1769256290
31.0784,14.2193,1769256297
31.4354,14.6267,1769256305
31.8572,15.1148,1769256315
32.4749,15.843,1769256329
32.7818,16.2112,1769256336
33.0664,16.5563,1769256342
33.3709,16.9298,1769256349
33.8039,17.4686,1769256360
34.2127,17.9859,1769256369
34.5551,18.426,1769256377
34.9802,18.9811,1769256387
35.2551,19.3454,1769256394
36.7326,21.3821,1769256429
37.1415,21.9709,1769256439
37.4256,22.3869,1769256446
38.0088,23.2598,1769256461
38.5451,24.0859,1769256474
38.8206,24.5195,1769256481
39.6741,25.9054,1769256503
39.9227,26.3219,1769256510
40.7509,27.7553,1769256532
41.0102,28.2193,1769256539
41.286,28.7215,1769256546
41.541,29.1937,1769256553
41.8296,29.7383,1769256561
42.1153,30.288,1769256569
42.3628,30.7733,1769256577
42.5906,31.2276,1769256583
42.8336,31.7209,1769256590
43.0913,32.2538,1769256598
43.8144,33.8082,1769256619
44.0447,34.3227,1769256626
44.2723,34.8414,1769256633
44.5929,35.5899,1769256643
44.8141,36.119,1769256650
45.1252,36.8823,1769256660
45.4155,37.6155,1769256670
45.8337,38.7104,1769256684
46.0239,39.2248,1769256690
46.2258,39.7828,1769256697
46.509,40.5873,1769256707
46.6896,41.1149,1769256714
46.8812,41.6874,1769256721
47.1493,42.5125,1769256731
47.5135,43.6823,1769256745
47.6781,44.2311,1769256751
47.9258,45.083,1769256761
48.0949,45.684,1769256768
48.2488,46.2458,1769256775
48.4113,46.8551,1769256782
48.5701,47.4683,1769256789
48.7144,48.0412,1769256795
49.0145,49.2867,1769256810
49.1589,49.9152,1769256817
49.2996,50.5474,1769256824
49.4939,51.4572,1769256834
49.6804,52.3743,1769256844
49.8502,53.2525,1769256853
50.4119,56.5401,1769256888
50.5049,57.1591,1769256895
50.6011,57.8287,1769256902
50.7124,58.6471,1769256910
50.8113,59.4195,1769256918
50.9046,60.1952,1769256926
51.2623,63.821,1769256963
51.3162,64.5136,1769256970
51.4106,65.9025,1769256984
51.4538,66.6486,1769256992
51.5033,67.646,1769257002
51.5325,68.3453,1769257009
51.5588,69.0952,1769257017
51.5786,69.7967,1769257024
51.5939,70.498,1769257031
51.6047,71.1999,1769257038
51.6106,71.8517,1769257044
51.5763,75.3111,1769257079
51.5525,76.112,1769257087
51.3761,79.6505,1769257122
51.3313,80.2949,1769257129
51.0296,83.6905,1769257163
50.9554,84.3731,1769257170
50.8827,85.005,1769257177
50.7881,85.7799,1769257185
50.7007,86.4547,1769257192
50.6159,87.0791,1769257198
50.5203,87.7493,1769257205
50.3767,88.701,1769257215
50.2712,89.3635,1769257222
50.1615,90.0229,1769257229
50.0062,90.9126,1769257239
49.8348,91.8426,1769257249
49.71,92.4893,1769257256
49.5906,93.0868,1769257263
49.4583,93.7268,1769257270
49.3221,94.3629,1769257277
48.8803,96.2934,1769257298
48.7289,96.9141,1769257305
48.5062,97.794,1769257315
48.346,98.4052,1769257322
48.1586,99.0985,1769257330
47.991,99.7007,1769257337
47.8075,100.3414,1769257345
47.5568,101.188,1769257355
47.3773,101.7756,1769257362
47.2076,102.3175,1769257368
46.9411,103.1439,1769257378
46.6682,103.9616,1769257388
46.0453,105.7298,1769257410
45.8262,106.3228,1769257418
45.6187,106.8718,1769257425
45.4233,107.3778,1769257431
45.118,108.1489,1769257441
44.9008,108.6836,1769257448
44.681,109.2138,1769257455
44.3782,109.9269,1769257465
44.152,110.4471,1769257472
43.9231,110.9632,1769257479
43.7084,111.4385,1769257486
43.4747,111.9464,1769257493
43.2045,112.5217,1769257501
42.8449,113.2688,1769257511
42.6197,113.7266,1769257518
42.3749,114.2156,1769257525
42.0922,114.7697,1769257533
41.8424,115.2501,1769257540
41.5905,115.7264,1769257547
41.3363,116.1989,1769257554
41.0983,116.634,1769257560
40.84,117.0989,1769257567
40.5796,117.56,1769257574
40.2229,118.1795,1769257584
39.8243,118.8563,1769257594
39.5561,119.3028,1769257601
39.189,119.9029,1769257611
38.3259,121.267,1769257633
38.0475,121.6938,1769257640
37.7675,122.1169,1769257647
36.8762,123.4247,1769257669
36.5892,123.8339,1769257676
36.3213,124.211,1769257682
35.9896,124.6713,1769257690
35.6979,125.0705,1769257697
35.4256,125.4384,1769257704
35.0042,125.9993,1769257714
34.5798,126.5541,1769257724
34.2596,126.966,1769257732
33.9594,127.3475,1769257739
33.6362,127.753,1769257746
33.3331,128.1285,1769257753
32.9198,128.6337,1769257763
32.6138,129.0026,1769257770
32.3065,129.3687,1769257777
32.0201,129.7063,1769257783
31.0429,130.8324,1769257805
30.5951,131.3358,1769257815
30.2803,131.6851,1769257822
29.987,132.0075,1769257829
29.6473,132.3768,1769257836
29.2155,132.8407,1769257846
